timestamp_utc,venue,symbol,side,executed_qty,avg_price,quote_spent,fee,fee_asset,order_id,client_order_id,txid,status
2025-09-05T18:18:38+00:00,MEXC,MX/USDT,BUY,1.88,2.6505,4.98294,0.00249147,USDT,C02__592714219280048132028,nova_1757096317367,,FILLED
2025-09-05T18:24:00+00:00,MEXC,MX/USDT,BUY,1.88,2.6505,4.98294,0.00249147,USDT,C02__592715570042900481028,nova_1757096638956,,FILLED
2025-09-05T18:24:00.946701+00:00,KRAKEN,XBTUSDT,BUY,0.00013523,110924.8687,15.00037,0.06,,,,OEODM6-TGJ5U-3UEVZR,closed
